"variable.name_calculator","sites.sitename","plot.name","calculatior_Biome","mean_OM"
"OM_ag","Alberga","mature 'old growth' forest","T1",155.335
"OM_ag","Alberta AB10","Pinus contorta-93%, Picea engelmanni-3%, Abies lasiocarpa-3%","T12",62.0102333333333
"OM_ag","Alberta AB11","Pinus flexis-97%, Pinus strobus-3%","T12",59.8137666666667
"OM_ag","Alberta AB12","Pinus flexis-91%, Abies lasiocarpa-5%, Picea engelmanni-3%","T12",53.6207333333333
"OM_ag","Alberta AB13","Pinus contorta-58%, Picea engelmanni-25%, Abies lasiocarpa-16%","T12",99.3940333333333
"OM_ag","Alberta AB14","Pinus contorta-92%, Abies lasiocarpa-5%, Picea engelmanni-2%","T12",53.8933333333333
"OM_ag","Alberta AB15","Pinus contorta-100%","T12",46.4579333333333
"OM_ag","Alberta AB16","Pinus contorta-100%","T12",66.3734
"OM_ag","Alberta AB17","Pinus contorta-90%, Picea glauca-9%, Picea mariana-1%","T12",39.17215
"OM_ag","Alberta AB18","Picea glauca-47%, Populus tremuloides-24%, Abies balsamifera-12%, Pinus contorta-11%, Populus balsamifera-6%","T11",107.18585
"OM_ag","Alberta AB19","Pinus contorta-68%, Populus tremuloides-30%, Picea glauca-1%, Populus balsamifera-1%","T11",86.264975
"OM_ag","Alberta AB20","Populus tremuloides-95%, Picea glauca-5%","T11",62.91655
"OM_ag","Alberta AB21","Picea glauca-59%, Abies balsamifera-17%, Pinus contorta-10%, Betula papyrifera-8%, Populus tremuloides-6%","T12",87.837125
"OM_ag","Alberta AB22","Picea mariana-97%, Pinus contorta-3%","T12",62.9941
"OM_ag","Alberta AB23","Abies lasiocarpa-43%, Picea engelmanni-39%, Pinus contorta-18%","T12",83.19235
"OM_ag","Alberta AB24","Picea engelmanni-74%, Abies lasiocarpa-15%, Pinus contorta-11%","T12",78.5135
"OM_ag","Alberta AB25","Pinus contorta-92%, Picea engelmanni-7%, Abies lasiocarpa-1%","T12",78.7955
"OM_ag","Alberta AB26","Pinus contorta-98%, Abies lasiocarpa-1%, Picea engelmanni-1%","T12",72.486925
"OM_ag","Alberta AB27","Pinus contorta-59%, Picea engelmanni-29%, Abies lasiocarpa-11%","T12",82.392175
"OM_ag","Alberta AB28","Abies lasiocarpa-73%, Picea engelmanni-25%, Pinus contorta-2%","T12",87.05575
"OM_ag","Alberta AB29","Populus tremuloides-44%, Picea glauca-42%, Populus balsamifera-14%, Pinus contorta-1%","T11",115.9866
"OM_ag","Alberta AB30","Picea mariana-98%, Picea glauca-2%","T12",76.69648
"OM_ag","Alberta AB31","Pinus contorta-75%, Picea mariana-25%","T12",101.48804
"OM_ag","Alberta AB5","Picea mariana-78%, Pinus contorta-22%","T12",69.9610666666667
"OM_ag","Alberta AB6","Pinus banksiana-100%","T12",58.1813
"OM_ag","Alberta AB7","Pinus contorta-100%","T12",37.2099
