"variable.ID","variable.type","variable.name","units","description","extended.description","equations","requires.allometry","requires.min.dbh","requires.depth","associated.covariate_1","associated.covariate_2","n.records","min","max","notes"
13,"flux","NPP_4_OM","Mg ha-1 yr-1","Net Primary Production (NPP)","Annual Net Primary Production (NPP), including foliage, branch, stem, coarse root, fine root, understory, reproductive and herbivory.","NPP_4_OM = NPP_3_OM + ANPP_herbivory_OM",1,1,1,"include.recruitment",NA,0,"-","-",NA
15,"flux","NPP_5_OM","Mg ha-1 yr-1","Net Primary Production (NPP)","Annual Total Net Primary Production (NPP), including foliage, branch, stem, coarse root, fine root, understory, reproductive, herbivory, VOC and exudation.","NPP_5_OM = NPP_4_OM + (NPP_exudation,VOC)",1,1,1,"include.recruitment",NA,0,"-","-",NA
19,"flux","NPP_woody_OM","Mg ha-1 yr-1","Net Primary Production: woody component(NPP_woody)","Annual woody Net Primary Production : annual production of woody biomass (branch, stem, coarse root) estimated using allometric equations.","NPP_woody_OM = ANPP_woody_OM + BNPP_coarse root_OM",1,1,1,"include.recruitment",NA,0,"-","-",NA
23,"flux","NPP_litter_OM","Mg ha-1 yr-1","Net Primary Production: fine detrital component (NPP_litter)","Annual fine detrital production: litterfall + rine root turnover","NPP_litter_OM = ANPP_litterfall_OM + BNPP_root.turnover_fine_OM",0,0,1,"min.diameter_root","max.diameter_root",0,"-","-",NA
42,"flux","ANPP_litterfall_2_C","Mg C ha-1 yr-1","Aboveground Net Primary Production: litterfall component (ANPP_litterfall)","Annual litterfall, including leaves, twigs, reproductive structures, and small branches/ wood/ large twigs.","ANPP_litterfall_2_C = ANPP_litterfall_1_C + ( ANPP_small branches/ large twigs_C)",0,0,0,"(max.diameter_branch)",NA,0,"-","-","Non-required covariate max.diameter_branch indicates maximum branch diameter classified as litterfall."
57,"flux","BNPP_root.turnover_fine_OM","Mg ha-1 yr-1","Belowground Net Primary Production: fine root turnover (BNPP_root.turnover_fine)","Annual turnover (mortality) of fine roots.",NA,0,0,1,"min.diameter_root","max.diameter_root",0,"-","-",NA
69,"flux","R_het_deadwood","Mg C ha-1 yr-1","Heterotropic Respiration: deadwood decomposition component (R_het_litter)","Annual respiration from deadwood decomposition",NA,0,0,0,"min.diameter_root",NA,0,"-","-",NA
70,"flux","R_het_ag_C","Mg C ha-1 yr-1","Heterotropic Respiration: aboveground component (R_het_litter)","Annual aboveground heterotrophic respiration",NA,0,0,0,NA,NA,0,"-","-",NA
71,"flux","R_het_C","Mg C ha-1 yr-1","Heterotrophic Respiration: total (R_het)","Annual heterotrophic respiration","R_het_C = R_het_soil_C + R_het_litter_C + R_het_ag_C _",0,0,0,NA,NA,0,"-","-",NA
72,"increment","delta.total.ecosystem_C","Mg C ha-1 yr-1","Total Ecosystem C stock increment, soil included (delta.total.ecosystem_C)","Net change (increment) in total ecosystem C stock, including total biomass, deadwood, organic layer, and soil organic C.  Also known as ""Net Ecosystem Carbon Balance (NECB)"", as defined in Chapin et al. 2006.","",1,1,1,NA,NA,0,"-","-",NA
73,"increment","delta.total.ecosystem_2_C","Mg C ha-1 yr-1","Total Ecosystem C stock increment, soil excluded (delta.total.ecosystem_2_C)","Net change (increment) in total ecosystem carbon in organic matter, including total biomass, deadwood, and organic layer but excluding soil organic carbon.","",1,1,1,NA,NA,0,"-","-",NA
74,"increment","delta.biomass_OM","Mg ha-1 yr-1","Biomass increment (delta.biomass)","Net change (increment) in total live biomass (above and below-ground).","",1,1,1,NA,NA,0,"-","-",NA
75,"increment","delta.biomass_C","Mg C ha-1 yr-1","Biomass increment (delta.biomass)","Net change (increment) in total carbon in live biomass (above and below-ground).","",1,1,1,NA,NA,0,"-","-",NA
78,"increment","delta.biomass_root_OM","Mg ha-1 yr-1","Biomass increment: root component (delta.biomass_root)","Net change (increment) in total root biomass.","",1,1,1,"min.diameter_root",NA,0,"-","-",NA
79,"increment","delta.biomass_root_C","Mg C ha-1 yr-1","Biomass increment: root component (delta.biomass_root)","Net change (increment) in total carbon in root biomass","",1,1,1,"min.diameter_root",NA,0,"-","-",NA
80,"increment","delta.biomass_root_coarse_OM","Mg ha-1 yr-1","Biomass increment: coarse root component (delta.biomass_root_coarse)","Net change (increment) in total coarse root biomass. Typical size cutoff (min.diameter_root) is 1-2 mm diameter.","",1,1,0,"min.diameter_root",NA,0,"-","-",NA
81,"increment","delta.biomass_root_coarse_C","Mg C ha-1 yr-1","Biomass increment: coarse root component (delta.biomass_root_coarse)","Net change (increment) in total carbon in coarse root biomass. Typical size cutoff (min.diameter_root) is 1-2 mm diameter.","",1,1,0,"min.diameter_root",NA,0,"-","-",NA
82,"increment","delta.biomass_root_fine_OM","Mg ha-1 yr-1","Biomass increment: fine root component (delta.biomass_root_fine)","Net change (increment) in total fine root biomass. Typical size cutoff (max.diameter_root) is 1-2 mm diameter.","",0,0,1,"min.diameter_root","max.diameter_root",0,"-","-",NA
83,"increment","delta.biomass_root_fine_C","Mg C ha-1 yr-1","Biomass increment: fine root component (delta.biomass_root_fine)","Net change (increment) in total carbon in fine root biomass. Typical size cutoff (max.diameter_root) is 1-2 mm diameter.","",0,0,1,"min.diameter_root","max.diameter_root",0,"-","-",NA
